id,target
0,0
1,0
2,0
3,1
4,1
5,1
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,1
16,0
17,0
18,0
19,1
20,0
21,0
22,0
23,0
24,1
25,0
26,1
27,0
28,1
29,0
30,1
31,0
32,0
33,1
34,1
35,1
36,0
37,0
38,0
39,0
40,1
41,1
42,0
43,0
44,1
45,1
46,0
47,0
48,1
49,1
50,0
51,0
52,0
53,0
54,0
55,0
56,1
57,0
58,1
59,0
60,0
61,0
62,1
63,0
64,0
65,1
66,0
67,1
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,1
77,0
78,0
79,1
80,1
81,1
82,0
83,0
84,0
85,0
86,0
87,1
88,0
89,1
90,1
91,1
92,1
93,0
94,0
95,1
96,1
97,0
98,1
99,1
100,0
101,1
102,0
103,0
104,1
105,0
106,1
107,1
108,0
109,0
110,1
111,0
112,0
113,1
114,1
115,1
116,0
117,1
118,0
119,1
120,1
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,1
130,1
131,0
132,1
133,1
134,0
135,0
136,0
137,1
138,0
139,0
140,0
141,0
142,0
143,1
144,0
145,1
146,0
147,0
148,0
149,0
150,1
151,0
152,0
153,0
154,0
155,1
156,1
157,1
158,0
159,0
160,1
161,0
162,1
163,1
164,0
165,1
166,0
167,0
168,0
169,0
170,0
171,1
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,1
181,0
182,1
183,0
184,0
185,0
186,0
187,1
188,1
189,0
190,0
191,1
192,1
193,0
194,1
195,1
196,0
197,0
198,0
199,0
200,1
201,0
202,0
203,1
204,1
205,0
206,1
207,0
208,0
209,1
210,0
211,0
212,0
213,0
214,1
215,0
216,0
217,1
218,1
219,0
220,1
221,1
222,1
223,0
224,1
225,0
226,0
227,1
228,0
229,1
230,0
231,0
232,0
233,0
234,1
235,0
236,0
237,0
238,1
239,1
240,0
241,0
242,1
243,1
244,0
245,1
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,1
257,0
258,1
259,0
260,0
261,1
262,1
263,0
264,0
265,1
266,1
267,0
268,1
269,0
270,0
271,0
272,1
273,0
274,1
275,0
276,0
277,1
278,0
279,0
280,1
281,0
282,0
283,1
284,0
285,0
286,0
287,0
288,0
289,1
290,0
291,1
292,1
293,1
294,0
295,0
296,0
297,1
298,0
299,0
300,0
301,0
302,0
303,0
304,0
305,1
306,1
307,1
308,0
309,1
310,1
311,0
312,1
313,1
314,0
315,0
316,1
317,0
318,0
319,1
320,0
321,0
322,0
323,0
324,0
325,1
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,1
336,0
337,0
338,0
339,1
340,0
341,0
342,0
343,0
344,1
345,1
346,0
347,0
348,0
349,0
350,0
351,1
352,1
353,0
354,1
355,0
356,1
357,0
358,0
359,1
360,1
361,0
362,0
363,0
364,0
365,0
366,0
367,0
368,0
369,1
370,1
371,1
372,0
373,0
374,1
375,1
376,0
377,1
378,0
379,1
380,1
381,0
382,1
383,0
384,0
385,0
386,0
387,0
388,0
389,1
390,0
391,0
392,1
393,1
394,1
395,0
396,0
397,1
398,1
399,0
400,1
401,1
402,0
403,1
404,1
405,0
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,1
414,1
415,0
416,0
417,1
418,1
419,0
420,0
421,0
422,1
423,0
424,1
425,0
426,0
427,0
428,0
429,0
430,1
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,1
439,0
440,0
441,1
442,0
443,0
444,0
445,0
446,0
447,1
448,0
449,0
450,0
451,0
452,0
453,1
454,1
455,1
456,1
457,0
458,0
459,1
460,1
461,1
462,0
463,0
464,0
465,1
466,0
467,0
468,0
469,0
470,0
471,1
472,0
473,1
474,1
475,0
476,0
477,1
478,1
479,1
480,1
481,0
482,1
483,0
484,0
485,0
486,1
487,1
488,1
489,0
490,0
491,0
492,0
493,1
494,0
495,0
496,0
497,1
498,1
499,1
500,0
501,1
502,0
503,1
504,1
505,0
506,0
507,0
508,1
509,1
510,1
511,0
512,0
513,0
514,0
515,0
516,1
517,0
518,1
519,0
520,1
521,0
522,0
523,0
524,1
525,0
526,0
527,0
528,0
529,0
530,0
531,0
532,0
